url,league_name,club
983,Korean K League Classic,Suwon Samsung Bluewings
1473,Korean K League Classic,Ulsan Hyundai FC
607,Saudi Abdul L. Jameel League,Al Ittihad
741,Turkish Süper Lig,Antalyaspor
1847,Italian Serie B,Ascoli
111327,Chilian Campeonato Nacional,CD Huachipato
110831,Spanish Segunda División,CD Lugo
1330,International,Czech Republic
1445,Danish Superliga,Esbjerg fB
112218,Russian Premier League,FC Krasnodar
898,Swiss Super League,FC St. Gallen
1043,Campeonato Brasileiro Série A,Flamengo
1832,German 2. Bundesliga,Karlsruher SC
82,Scottish Premiership,Kilmarnock
83,Scottish Premiership,Motherwell
110227,Russian Premier League,Rubin Kazan
110169,German 3. Bundesliga,SC Fortuna Köln
1785,Austrian Football Bundesliga,SV Mattersburg
1361,International,Slovenia
670,Belgian Jupiler Pro League,Sporting de Charleroi
111434,Italian Serie B,US Cremonese
111716,Argentina Primera División,Unión de Santa Fe
110913,Belgian Jupiler Pro League,Waasland-Beveren
111085,Polish T-Mobile Ekstraklasa,LKS Lodz
113391,Romanian Liga I,Academica Clinceni
113345,Saudi Abdul L. Jameel League,Al Adalah
1962,English League One,Bristol Rovers
112533,Chilian Campeonato Nacional,CD Antofagasta
110978,Chilian Campeonato Nacional,CD Cobresal
110069,Spanish Segunda División,CD Mirandés
111328,Chilian Campeonato Nacional,CD Palestino
112637,Romanian Liga I,Gaz Metan Mediaş
1341,International,Iceland
101144,Japanese J. League Division 1,Júbilo Iwata
111083,Polish T-Mobile Ekstraklasa,Korona Kielce
113158,Japanese J. League Division 1,Matsumoto Yamaga
111138,USA Major League Soccer,Minnesota United FC
111473,International,New Zealand
1937,English League Two,Notts County
110178,German 2. Bundesliga,SV Sandhausen
112836,Japanese J. League Division 1,Vegalta Sendai
1569,Polish T-Mobile Ekstraklasa,Wisła Płock
1039,Campeonato Brasileiro Série A,Club Athletico Paranaense
445,Rep. Ireland Airtricity League,Derry City
469,Spanish Segunda División,Extremadura UD
1341,International,Iceland
272,Danish Superliga,Odense Boldklub
631,Scottish Premiership,Ross County FC
270,Danish Superliga,Silkeborg IF
418,Norwegian Eliteserien,Tromsø IL
920,Norwegian Eliteserien,Vålerenga Fotball
1446,Danish Superliga,AC Horsens
112171,Swedish Allsvenskan,AFC Eskilstuna
113948,French Ligue 2,AS Béziers
111708,Argentina Primera División,Atlético Tucumán
711,Swedish Allsvenskan,BK Häcken
111451,International,Bolivia
517,Campeonato Brasileiro Série A,Botafogo
838,Rep. Ireland Airtricity League,Bray Wanderers
1891,Portuguese Liga ZON SAGRES,CD Nacional
112534,Chilian Campeonato Nacional,CD Universidad de Concepción
110066,Spanish Segunda División,CF Rayo Majadahonda
113387,Romanian Liga I,Chindia Târgovişte
112165,Chinese Super League,Chongqing Dangdai Lifan FC SWM Team
111723,Colombian Liga Postobón,Deportivo Pasto
100766,Russian Premier League,FC Anzhi Makhachkala
110752,Romanian Liga I,FC Botoşani
100628,Holland Eredivisie,FC Emmen
10032,Swiss Super League,FC Lugano
897,Swiss Super League,FC Luzern
110231,Russian Premier League,FC Rostov
982,Korean K League Classic,FC Seoul
322,Swiss Super League,Grasshopper Club Zürich
111588,Korean K League Classic,Gyeongnam FC
184,Scottish Premiership,Hamilton Academical FC
112425,Danish Superliga,Hobro IK
212,French Ligue 2,La Berrichonne de Châteauroux
299,Norwegian Eliteserien,Lillestrøm SK
15001,Danish Superliga,Lyngby BK
1904,Holland Eredivisie,NAC Breda
1786,Danish Superliga,Randers FC
113157,Japanese J. League Division 1,Sanfrecce Hiroshima
1438,Portuguese Liga ZON SAGRES,Santa Clara
111099,International,South Africa
110741,Italian Serie B,Spezia
100805,Scottish Premiership,St. Mirren
1447,Danish Superliga,SønderjyskE
2017,Austrian Football Bundesliga,TSV Hartberg
112983,Chinese Super League,Tianjin Quanjian FC
100651,Holland Eredivisie,VVV-Venlo
753,Rep. Ireland Airtricity League,Waterford FC
113259,Turkish Süper Lig,Yeni Malatyaspor
101037,Turkish Süper Lig,Çaykur Rizespor
705,Swedish Allsvenskan,Örebro SK
113173,Swedish Allsvenskan,Östersunds FK
112537,Chinese Super League,Beijing Renhe FC
112510,Polish T-Mobile Ekstraklasa,Bruk-Bet Termalica Nieciecza
112655,Chilian Campeonato Nacional,Curicó Unido
112531,Chilian Campeonato Nacional,Deportes Iquique
113182,Romanian Liga I,FC Voluntari
113458,Swedish Allsvenskan,IK Sirius
114326,Polish T-Mobile Ekstraklasa,Raków Częstochowa
110401,Turkish Süper Lig,Adanaspor
111674,Saudi Abdul L. Jameel League,Al Shabab
112408,Saudi Abdul L. Jameel League,Al Wehda
112001,Campeonato Brasileiro Série A,América FC (Minas Gerais)
111082,Polish T-Mobile Ekstraklasa,Arka Gdynia
110394,Argentina Primera División,Arsenal de Sarandí
1598,Campeonato Brasileiro Série A,Bahia
1848,Italian Serie B,Bari
112510,Polish T-Mobile Ekstraklasa,Bruk-Bet Termalica Nieciecza
666,Portuguese Liga ZON SAGRES,CD Aves
10019,Portuguese Liga ZON SAGRES,CD Feirense
112409,Italian Serie B,Carpi
111059,Campeonato Brasileiro Série A,Ceará Sporting Club
1813,French Ligue 2,Chamois Niortais Football Club
111711,Argentina Primera División,Club Atlético Huracán
1893,Portuguese Liga ZON SAGRES,Clube Sport Marítimo
422,Rep. Ireland Airtricity League,Cork City
1867,Spanish Segunda División,Córdoba CF
111721,Colombian Liga Postobón,Cúcuta Deportivo
2056,Korean K League Classic,Daegu FC
1572,Rep. Ireland Airtricity League,Drogheda United
162,German 3. Bundesliga,FC Energie Cottbus
1715,Swiss Super League,FC Thun
1463,Norwegian Eliteserien,FK Haugesund
111131,Rep. Ireland Airtricity League,Finn Harps
112115,Korean K League Classic,Gangwon FC
111706,Argentina Primera División,Godoy Cruz
111042,Campeonato Brasileiro Série A,Goiás
111779,Chinese Super League,Henan Jianye FC
698,USA Major League Soccer,Houston Dynamo
1475,Korean K League Classic,Jeonnam Dragons
1439,Swedish Allsvenskan,Kalmar FF
111035,Mexican Liga MX,Lobos BUAP
112420,Norwegian Eliteserien,Mjøndalen IF
435,Swiss Super League,Neuchâtel Xamax
15019,Spanish Segunda División,Gimnàstic de Tarragona
101106,Colombian Liga Postobón,Once Caldas
383,Campeonato Brasileiro Série A,Palmeiras
1754,Scottish Premiership,Partick Thistle FC
1474,Korean K League Classic,Pohang Steelers
110815,Romanian Liga I,Politehnica Iaşi
111065,USA Major League Soccer,Real Salt Lake
111273,French Ligue 2,Red Star FC
919,Norwegian Eliteserien,SK Brann
2055,Korean K League Classic,Sangju Sangmu FC
112199,Norwegian Eliteserien,Sarpsborg 08 FF
563,Rep. Ireland Airtricity League,Sligo Rovers
2007,Belgian Jupiler Pro League,Sporting Lokeren
598,Campeonato Brasileiro Série A,São Paulo
110109,Russian Premier League,Terek Grozny
111774,Chinese Super League,Tianjin TEDA FC
112448,Japanese J. League Division 1,V-Varen Nagasaki
110700,German 3. Bundesliga,VfL Sportfreunde Lotte
550,German 3. Bundesliga,VfR Aalen
300,Norwegian Eliteserien,Viking FK
346,English League Two,Yeovil Town
110749,Polish T-Mobile Ekstraklasa,Zagłębie Lubin
113057,Saudi Abdul L. Jameel League,Al Fayha
113186,Japanese J. League Division 1,Avispa Fukuoka
112934,Colombian Liga Postobón,Cortuluá
110467,Czech Republic Gambrinus Liga,1. FC Brno
112390,Saudi Abdul L. Jameel League,Al Fateh
110234,Russian Premier League,Amkar Perm
110756,Russian Premier League,Arsenal Tula
112119,Campeonato Brasileiro Série A,Atlético Clube Goianiense
112528,Colombian Liga Postobón,Atlético Huila
111976,Campeonato Brasileiro Série A,Avaí FC
111707,Argentina Primera División,Club Atlético Aldosivi
112934,Colombian Liga Postobón,Cortuluá
112585,Chilian Campeonato Nacional,Deportivo Ñublense
312,Russian Premier League,Dinamo Moscow
112526,Colombian Liga Postobón,Envigado FC
10020,Portuguese Liga ZON SAGRES,Estoril Praia
112096,Saudi Abdul L. Jameel League,Ettifaq FC
110233,Russian Premier League,FC Tom Tomsk
2045,Austrian Football Bundesliga,FC Wacker Innsbruck
918,Norwegian Eliteserien,FK Bodø/Glimt
110911,Italian Serie B,Foggia
111052,Campeonato Brasileiro Série A,Fortaleza
110316,French Ligue 2,GFC Ajaccio
101024,Turkish Süper Lig,Gaziantepspor
111491,Italian Serie B,Grosseto
112258,Korean K League Classic,GwangJu FC
111705,Swedish Allsvenskan,IF Brommapojkarna
700,Swedish Allsvenskan,IF Elfsborg
1524,Norwegian Eliteserien,IK Start
110765,Korean K League Classic,Incheon United FC
112679,Mexican Liga MX,Jaguares de Chiapas
112903,Colombian Liga Postobón,Jaguares de Córdoba
1478,Korean K League Classic,Jeju United FC
101145,Japanese J. League Division 1,Kashiwa Reysol
112523,Colombian Liga Postobón,La Equidad
239,Belgian Jupiler Pro League,Lierse SK
621,Scottish Premiership,Livingston FC
112505,Polish T-Mobile Ekstraklasa,Miedź Legnica
112925,Argentina Primera División,Nueva Chicago
1456,Norwegian Eliteserien,Odds BK
110912,Italian Serie B,Padova
112527,Colombian Liga Postobón,Patriotas Boyacá FC
111802,Italian Serie B,Ravenna
1828,German 2. Bundesliga,Rot-Weiß Oberhausen
780,Austrian Football Bundesliga,SV Ried
110694,German 3. Bundesliga,SV Werder Bremen II
110149,Mexican Liga MX,San Luis
112668,Chilian Campeonato Nacional,San Luis de Quillota
111713,Argentina Primera División,San Martín de San Juan
111114,International,Saudi Arabia
324,Swiss Super League,Servette FC
110714,Spanish Segunda División,Sevilla Atlético
917,Norwegian Eliteserien,Stabæk Fotball
922,Norwegian Eliteserien,Strømsgodset IF
570,Italian Serie B,Ternana
110526,German 2. Bundesliga,TuS Koblenz
112552,French Ligue 2,US Quevilly Rouen Métropole
1366,International,Ukraine
112715,Colombian Liga Postobón,Unión Magdalena
203,Italian Serie B,Urbs Reggina 1914 
1719,Campeonato Brasileiro Série A,Vitória
665,Portuguese Liga ZON SAGRES,Vitória de Setúbal
111968,Rep. Ireland Airtricity League,Wexford Youths
180,Scottish Premiership,Dundee FC
147,English League Two,Hereford
203,Italian Serie B,Urbs Reggina 1914 
112708,Chilian Campeonato Nacional,AC Barnechea
113058,Saudi Abdul L. Jameel League,Abha Club
112990,Saudi Abdul L. Jameel League,Al Batin
112389,Saudi Abdul L. Jameel League,Al Faisaly
113222,Saudi Abdul L. Jameel League,Al Hazem
112883,Saudi Abdul L. Jameel League,Al Khaleej
112676,Saudi Abdul L. Jameel League,Al Nahdha Dammam
112675,Saudi Abdul L. Jameel League,Al Orobah
112391,Saudi Abdul L. Jameel League,Al Qadisiyah
112392,Saudi Abdul L. Jameel League,Al Raed
112407,Saudi Abdul L. Jameel League,Al Shoulla
112393,Saudi Abdul L. Jameel League,Al Taawoun
112906,Japanese J. League Division 1,Albirex Niigata
112579,Colombian Liga Postobón,Alianza Petrolera
112992,Colombian Liga Postobón,Atlético Bucaramanga
112889,Turkish Süper Lig,Balıkesirspor
112549,French Ligue 2,CA Bastia
112476,Campeonato Brasileiro Série A,Chapecoense
112713,Argentina Primera División,Club Atlético Sarmiento
112904,Argentina Primera División,Club Atlético Temperley
112709,Chilian Campeonato Nacional,Club Deportes Temuco
112909,Argentina Primera División,Crucero del Norte
113876,Swedish Allsvenskan,Dalkurd FF
113217,Saudi Abdul L. Jameel League,Damac FC
112525,Colombian Liga Postobón,Deportes Quindío
112586,Chilian Campeonato Nacional,Deportivo San Marcos de Arica
112513,Portuguese Liga ZON SAGRES,FC Arouca
113720,Danish Superliga,FC Helsingør
112261,Russian Premier League,FC Orenburg
112398,Italian Serie B,FC Pro Vercelli 1892
113704,Russian Premier League,FC Tosno
112424,Danish Superliga,FC Vestsjælland
112834,Colombian Liga Postobón,Fortaleza CEIF
112281,Italian Serie B,Gubbio
112394,Saudi Abdul L. Jameel League,Hajer
112970,Colombian Liga Postobón,Itagüí Leones FC
113459,Norwegian Eliteserien,Kristiansund BK
112487,Italian Serie B,Latina
112395,Saudi Abdul L. Jameel League,Najran SC
112282,Italian Serie B,Nocera Inferiore
113219,Saudi Abdul L. Jameel League,Ohod Club
112345,Japanese J. League Division 1,Omiya Ardija
112958,Turkish Süper Lig,Osmanlıspor
112578,Colombian Liga Postobón,Rionegro Águilas
112508,Polish T-Mobile Ekstraklasa,Sandecja Nowy Sącz
112374,Norwegian Eliteserien,Sandnes Ulf
113378,Romanian Liga I,Sepsi OSK
112558,Korean K League Classic,Suwon FC
112267,Swedish Allsvenskan,Syrianska
112968,Colombian Liga Postobón,Tigres FC
113216,Spanish Segunda División,UCAM Murcia CF
112902,Spanish Segunda División,UE Llagostera
112830,Colombian Liga Postobón,Uniautónoma FC
112517,Portuguese Liga ZON SAGRES,União da Madeira
112237,Italian Serie B,Varese
113162,Japanese J. League Division 1,Ventforet Kofu
112954,Italian Serie B,Vicenza
111989,French Ligue 2,AC Arles Avignon
111340,Turkish Süper Lig,Akhisar Belediyespor
111717,Argentina Primera División,All Boys
111704,Campeonato Brasileiro Série A,América de Natal
111965,Rep. Ireland Airtricity League,Athlone Town
111812,Czech Republic Gambrinus Liga,Bohemians 1905
111985,Czech Republic Gambrinus Liga,Bohemians Praha
112019,Colombian Liga Postobón,Boyacá Chicó FC
112232,Turkish Süper Lig,Bucaspor
111827,Spanish Segunda División,CD Guadalajara
111984,Portuguese Liga ZON SAGRES,CD Trofense
111666,Mexican Liga MX,CF Indios
111769,Chinese Super League,Changchun Yatai FC
111715,Argentina Primera División,Club Atlético Tigre
111810,Spanish Segunda División,Club Polideportivo Granada 74
111932,Rep. Ireland Airtricity League,Cobh Ramblers
111988,Turkish Süper Lig,Eskişehirspor
111271,French Ligue 2,Évian Thonon Gaillard FC
112236,Czech Republic Gambrinus Liga,FC Hradec Králové
111264,Russian Premier League,FC Ural Yekaterinburg
111374,Czech Republic Gambrinus Liga,FK SIAD Most
112235,Czech Republic Gambrinus Liga,FK Ústí nad Labem
112169,Swedish Allsvenskan,Falkenbergs FF
111594,Swedish Allsvenskan,GAIS
112107,Italian Serie B,Gallipoli
111277,Swedish Allsvenskan,Gefle IF
112078,Australian Hyundai A-League,Gold Coast United
111206,Scottish Premiership,Gretna
112077,Campeonato Brasileiro Série A,Grêmio Barueri
111929,Campeonato Brasileiro Série A,Ipatinga
112130,Swedish Allsvenskan,Jönköpings Södra IF
112122,Turkish Süper Lig,Kardemir Karabükspor
111654,Mexican Liga MX,Leones Negros de la UdeG
111285,Rep. Ireland Airtricity League,Limerick FC
111959,Swedish Allsvenskan,Ljungskile SK
111433,Italian Serie B,Mantova
112072,Swedish Allsvenskan,Mjällby AIF
112079,Australian Hyundai A-League,North Queensland Fury FC
112225,Italian Serie B,Novara
111429,Polish T-Mobile Ekstraklasa,Polonia Bytom
112231,Italian Serie B,Portogruaro Calcio ASD
111292,Campeonato Brasileiro Série A,Portuguesa de Desportos
112110,Chilian Campeonato Nacional,Rangers de Talca
112200,Norwegian Eliteserien,Ranheim Fotball
111432,Italian Serie B,Rimini
111540,Portuguese Liga ZON SAGRES,SC Olhanense
111373,Austrian Football Bundesliga,SC Wiener Neustadt
111720,Czech Republic Gambrinus Liga,SK Kladno
112020,Italian Serie B,SS Virtus Lanciano
112022,Austrian Football Bundesliga,SV Grödig
111714,Argentina Primera División,San Martin de Tucumán
111293,Campeonato Brasileiro Série A,Santo André
111266,Russian Premier League,Sibir Novosibirsk
111967,Rep. Ireland Airtricity League,Sporting Fingal
111376,French Ligue 2,US Boulogne Cote D'Opale
111377,French Ligue 2,Vannes OC
112237,Italian Serie B,Varese
111660,Danish Superliga,Vendsyssel FF
112217,Russian Premier League,Volga Nizhny Novgorod
111089,Polish T-Mobile Ekstraklasa,Zagłębie Sosnowiec
110306,Belgian Jupiler Pro League,AFC Tubize
110230,Russian Premier League,Alaniya Vladikavkaz
110907,Italian Serie B,Arezzo
101116,Mexican Liga MX,Atlante
110392,Argentina Primera División,Atlético de Rafaela
110464,Czech Republic Gambrinus Liga,Baník Ostrava
111022,Argentina Primera División,Belgrano de Córdoba
110701,Spanish Segunda División,Bilbao Athletic
110833,Spanish Segunda División,CD Alcoyano
110979,Chilian Campeonato Nacional,CD Cobreloa
110364,Italian Serie B,Catania
110915,Italian Serie B,Cesena
110405,Argentina Primera División,Chacarita Juniors
111070,USA Major League Soccer,Chivas USA
110398,Argentina Primera División,Club Olimpo
111050,Campeonato Brasileiro Série A,Clube Náutico Capibaribe
111044,Campeonato Brasileiro Série A,Coritiba
111046,Campeonato Brasileiro Série B,Criciúma
111032,Mexican Liga MX,Dorados de Sinaloa
110471,Czech Republic Gambrinus Liga,Dynamo České Budějovice
110780,Mexican Liga MX,Estudiantes Tecos
110239,Russian Premier League,FC Khimki
110318,French Ligue 2,FC Libourne-Saint-Seurin
110229,Russian Premier League,FC Moskva
110822,Russian Premier League,FC Ufa
110596,German 2. Bundesliga,FSV Frankfurt
111045,Campeonato Brasileiro Série A,Figueirense
110576,French Ligue 2,Football Bourg En Bresse Peronnas 01
110744,Polish T-Mobile Ekstraklasa,GKS Bełchatów
111049,Campeonato Brasileiro Série A,Guarani
110565,Polish T-Mobile Ekstraklasa,Górnik Łęczna
110775,Turkish Süper Lig,Hacettepe SK
110151,Mexican Liga MX,Jaguares de Chiapas
111054,Campeonato Brasileiro Série B,Joinville
111041,Campeonato Brasileiro Série B,Juventude
101032,Turkish Süper Lig,Kocaelispor
110089,Russian Premier League,Kuban Krasnodar
110935,South African Premier Division,Mamelodi Sundowns FC
101035,Turkish Süper Lig,Manisaspor
101036,Turkish Süper Lig,Mersin İdman Yurdu
110472,Czech Republic Gambrinus Liga,Mladá Boleslav
110106,Russian Premier League,Mordovia Saransk
111048,Campeonato Brasileiro Série A,Paraná
110581,Argentina Primera División,Patronato
111087,Polish T-Mobile Ekstraklasa,Podbeskidzie Bielsko-Biała
111043,Campeonato Brasileiro Série A,Ponte Preta
110554,Argentina Primera División,Quilmes Atlético Club
110242,Spanish Segunda División,Racing de Ferrol
110710,Spanish Segunda División,Real Madrid Castilla
110101,Russian Premier League,SKA Khabarovsk
111058,Campeonato Brasileiro Série A,Santa Cruz
110976,Chilian Campeonato Nacional,Santiago Wanderers
110225,Russian Premier League,Saturn Ramenskoye
110082,International,Serbia
110103,Russian Premier League,Spartak Nalchik
111057,Campeonato Brasileiro Série A,Sport Club do Recife
110466,Czech Republic Gambrinus Liga,Tescoma Zlín
110326,French Ligue 2,Tours FC
110465,Czech Republic Gambrinus Liga,Viktoria Žižkov
110902,Spanish Segunda División,Villarreal CF B
100149,Czech Republic Gambrinus Liga,1. FC Slovácko
100145,Czech Republic Gambrinus Liga,1. FK Příbram
1826,German 2. Bundesliga,Alemannia Aachen
1872,Spanish Segunda División,Alicante CF
1840,Italian Serie B,Ancona
101008,Turkish Süper Lig,Ankaraspor
1901,Portuguese Liga ZON SAGRES,Associação Académica de Coimbra
2038,Italian Serie B,Avellino
1964,English League Two,Boston United
100852,Spanish Segunda División,C.D. Castellón
1857,Spanish Segunda División,C.P. Ejido
15021,Spanish Segunda División,CE Sabadell FC
2057,Spanish Segunda División,CF Ciudad de Murcia
1924,English League Two,Chesterfield
15012,Spanish Segunda División,Cultural Leonesa
1957,English League Two,Darlington
101018,Turkish Süper Lig,Diyarbakırspor
1971,Holland Eredivisie,Excelsior
100851,Spanish Segunda División,FC Cartagena
100626,Holland Eredivisie,FC Dordrecht
10023,Swiss Challenge League,FC La Chaux-de-Fonds
1862,Swiss Super League,FC Lausanne-Sport
8001,Belgian Jupiler Pro League,FC Molenbeek Brussels
100741,Portuguese Liga ZON SAGRES,FC Penafiel
100424,German 3. Bundesliga,FC Rot-Weiß Erfurt
100994,Swiss Super League,FC Schaffhausen
100142,Czech Republic Gambrinus Liga,FK Baumit Jablonec
2041,Norwegian Eliteserien,Fredrikstad FK
100632,Holland Eredivisie,Go Ahead Eagles
1941,English League Two,Hartlepool United
100879,Spanish Segunda División,Hércules CF
1841,Norwegian Eliteserien,Hønefoss BK
15011,Austrian Football Bundesliga,KSV 1919
1950,German 2. Bundesliga,Kickers Offenbach
101032,Turkish Süper Lig,Kocaelispor
100764,Russian Premier League,Krylya Sovetov Samara
10018,Portuguese Liga ZON SAGRES,Leixões SC
2015,Austrian Football Bundesliga,Liebherr GAK
2026,Spanish Segunda División,Lorca FC
1845,Italian Serie B,Messina
1910,Holland Eredivisie,NEC Nijmegen
100737,Portuguese Liga ZON SAGRES,Naval 1° de Maio
100087,Belgian Jupiler Pro League,Oud-Heverlee Leuven
1855,Spanish Segunda División,Real Murcia Club de Fútbol
100882,Spanish Segunda División,Real Unión Club Irún
1902,Holland Eredivisie,Roda JC Kerkrade
1834,German 2. Bundesliga,Rot-Weiß Ahlen
1897,Portuguese Liga ZON SAGRES,SC Beira Mar
1838,Italian Serie B,Siena
100143,Czech Republic Gambrinus Liga,Slovan Liberec
1931,English League Two,Stockport County
100768,Russian Premier League,Torpedo Moscow
1946,English League Two,Torquay United
2021,Italian Serie B,Treviso
1839,Italian Serie B,Triestina
2044,Italian Serie B,UC AlbinoLeffe
1856,Spanish Segunda División,UD Salamanca
100947,Spanish Segunda División,UD Vecindario
1895,Portuguese Liga ZON SAGRES,União de Leiria
1947,English League Two,Wrexham
241,Spain Primera Division,FC Barcelona
11,English Premier League,Manchester United
5,English Premier League,Chelsea
243,Spain Primera Division,Real Madrid
1,English Premier League,Arsenal
9,English Premier League,Liverpool
22,German 1. Bundesliga,Borussia Dortmund
21,German 1. Bundesliga,FC Bayern München
10,English Premier League,Manchester City
73,French Ligue 1,Paris Saint-Germain
245,Holland Eredivisie,Ajax
240,Spain Primera Division,Atlético Madrid
191,Austrian Football Bundesliga,FC Red Bull Salzburg
44,Italian Serie A,Inter
47,Italian Serie A,Milan
45,Italian Serie A,Juventus
18,English Premier League,Tottenham Hotspur
112172,German 1. Bundesliga,RB Leipzig
1943,English Premier League,Bournemouth
48,Italian Serie A,Napoli
7,English Premier League,Everton
32,German 1. Bundesliga,Bayer 04 Leverkusen
52,Italian Serie A,Roma
34,German 1. Bundesliga,FC Schalke 04
95,English Premier League,Leicester City
461,Spain Primera Division,Valencia CF
110,English Premier League,Wolverhampton Wanderers
66,French Ligue 1,Olympique Lyonnais
19,English Premier League,West Ham United
110374,Italian Serie A,Fiorentina
247,Holland Eredivisie,PSV
1792,English Premier League,Norwich City
449,Spain Primera Division,Real Betis
1824,German 1. Bundesliga,Eintracht Frankfurt
38,German 1. Bundesliga,SV Werder Bremen
234,Portuguese Liga ZON SAGRES,SL Benfica
481,Spain Primera Division,Sevilla FC
69,French Ligue 1,AS Monaco
219,French Ligue 1,Olympique de Marseille
2,English Premier League,Aston Villa
13,English Premier League,Newcastle United
110679,German 3. Bundesliga,Bayern München II
236,Portuguese Liga ZON SAGRES,FC Porto
74,French Ligue 1,Stade Rennais FC
237,Portuguese Liga ZON SAGRES,Sporting CP
65,French Ligue 1,LOSC Lille
17,English Premier League,Southampton
39,Italian Serie A,Atalanta
23,German 1. Bundesliga,Borussia Mönchengladbach
50,Italian Serie A,Parma
457,Spain Primera Division,Real Sociedad
325,Turkish Süper Lig,Galatasaray SK
28,German 2. Bundesliga,Hamburger SV
10029,German 1. Bundesliga,TSG 1899 Hoffenheim
175,German 1. Bundesliga,VfL Wolfsburg
326,Turkish Süper Lig,Fenerbahçe SK
190,Italian Serie A,Brescia
448,Spain Primera Division,Athletic Club de Bilbao
8,English League Championship,Leeds United
1799,English Premier League,Crystal Palace
